pop	true_time
cycle	0.670542203821242
cycle	1.20506977196783
cycle	2.96791518293321
cycle	3.87433506734669
cycle	4.44472876749933
cycle	5.93398649594747
cycle	6.33514369023032
cycle	7.55274874949828
cycle	8.31018971418962
cycle	9.78306943271309
cycle	10.9026702756528
cycle	11.7143606850877
cycle	12.4343657959253
cycle	13.0283821367193
cycle	14.54633556935
cycle	15.1728439156432
cycle	16.6608552746475
cycle	17.5553273779806
cycle	18.7921778939199
cycle	19.1076506685931
cycle	20.2915748725645
cycle	21.384493657155
cycle	22.5800323544536
cycle	23.9692831696011
cycle	24.4157224621158
cycle	25.446974562481
cycle	26.3092343523167
cycle	27.7424674823415
cycle	28.4232797110453
cycle	29.6882468373515
cycle	30.09032091056
cycle	31.8808745490387
cycle	32.0420940327458
cycle	33.1311262303498
cycle	34.5721863892395
cycle	35.5159297285136
cycle	36.2751547878142
cycle	37.2267405381426
cycle	38.2023097272031
cycle	39.3560638045892
cycle	40.2781361255329
cycle	41.6330270715989
cycle	42.2009961986914
cycle	43.2072208267637
cycle	44.5405939486809
cycle	45.1042418777943
cycle	46.7623822838068
cycle	47.6740298154764
cycle	48.419289204292
cycle	49.6596008457709
cycle	50.5498813046142
cycle	51.3323226985522
cycle	52.6007303590886
cycle	53.4811737283599
cycle	54.0372952716425
cycle	55.7166935994755
cycle	56.7461537837517
cycle	57.6316142517608
cycle	58.1222325896379
cycle	59.0085693306755
cycle	60.5299864884
cycle	61.6754988164175
cycle	62.1663752030581
cycle	63.7990345817525
cycle	64.0368474288844
cycle	65.4721345647704
cycle	66.0872595261317
cycle	67.9792309005279
cycle	68.296377933817
cycle	69.4811088503338
cycle	70.0656694544014
cycle	71.511804074049
cycle	72.000848979922
cycle	73.4976159795187
cycle	74.5953549055848
cycle	75.5627084043808
cycle	76.5907191829756
cycle	77.5436342232861
cycle	78.3020705031231
cycle	79.0644417987205
cycle	80.7271866705269
cycle	81.0346166288946
cycle	82.6788145750761
cycle	83.5657737262081
cycle	84.4334651911631
cycle	85.1895869157743
cycle	86.8709321464412
